,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
67,4:2 FTS,757124-72-4,Rat cerebellar granule cell,2,96,3.55E-06,1.30E-04,1.31E-04,0.992782666
68,PFNA,375-95-1,Rat cerebellar granule cell,2,96,1.31E-04,2.00E-07,1.27E-05,1.58E-02
69,PFHxA,307-24-4,Rat cerebellar granule cell,2,96,8.18E-05,9.93E-06,4.12E-05,0.241309502
70,PFBA,375-22-4,Rat cerebellar granule cell,2,96,3.22E-06,1.29E-04,1.30E-04,0.993490514
71,PFOA,335-67-1,Rat cerebellar granule cell,2,96,7.83E-05,1.12E-05,4.08E-05,0.27439223
72,6:2 FTS,27619-97-2,Rat cerebellar granule cell,2,96,3.19E-05,6.87E-05,7.91E-05,0.869228551
73,8:2 FTS,39108-34-4,Rat cerebellar granule cell,2,96,8.10E-05,1.03E-05,4.12E-05,0.250477863
74,PFUnDA,2058-94-8,Rat cerebellar granule cell,2,96,9.48E-05,2.30E-06,5.52E-05,0.041751562
75,PFOS,1763-23-1,Rat cerebellar granule cell,2,96,9.48E-05,2.30E-06,5.52E-05,0.041751562
76,PFHpA,375-85-9,Rat cerebellar granule cell,2,96,5.60E-05,3.26E-05,5.22E-05,0.624882399
77,PFPeA,2706-90-3,Rat cerebellar granule cell,2,96,1.08E-05,1.07E-04,1.10E-04,0.970870084
78,PFHxS,355-46-4,Rat cerebellar granule cell,2,96,2.19E-05,8.69E-05,9.39E-05,0.926731714
79,PFDA,335-76-2,Rat cerebellar granule cell,2,96,1.16E-04,9.81E-07,3.42E-05,0.028655711
80,Azathioprine,446-86-6,Rat cerebellar granule cell,2,96,8.42E-08,1.48E-04,1.48E-04,1.000259671
81,Benzocaine,94-09-7,Rat cerebellar granule cell,2,96,4.43E-06,1.28E-04,1.30E-04,0.990681691
82,Butylated hydroxyanisole,25013-16-5,Rat cerebellar granule cell,2,96,5.33E-05,4.01E-05,5.85E-05,0.686130849
83,Cetirizine dihydrochloride,83881-52-1,Rat cerebellar granule cell,2,96,3.46E-07,1.45E-04,1.46E-04,0.999801852
84,Cyclamate,139-05-9,Rat cerebellar granule cell,2,96,1.78E-08,0.000149211,0.000149214,1.000365602
85,Cyclophosphamide,6055-19-2,Rat cerebellar granule cell,2,96,3.30E-07,0.000145614,0.000145696,0.999829995
86,Cypermethrin,67375-30-8,Rat cerebellar granule cell,2,96,1.36E-04,5.76E-08,1.00329E-05,0.005742934
87,DEET,134-62-3,Rat cerebellar granule cell,2,96,8.53E-06,0.000116856,0.000119373,0.979296352
88,Dexamethasone,50-02-2,Rat cerebellar granule cell,2,96,5.03E-06,1.26E-04,1.28E-04,0.989154705
89,Digoxin,20830-75-5,Rat cerebellar granule cell,2,96,1.19E-06,0.000140486,0.000140801,0.998152269
90,Fenazaquin,120928-09-8,Rat cerebellar granule cell,2,96,1.22E-04,6.88775E-07,1.84501E-05,0.037346358
91,Fenbuconazole,114369-43-6,Rat cerebellar granule cell,2,96,4.43437E-05,5.21E-05,6.70E-05,0.777564681
92,Fluazinam,79622-59-6,Rat cerebellar granule cell,2,96,7.69E-05,1.45569E-05,4.31871E-05,0.337196496
93,Furosemide,54-31-9,Rat cerebellar granule cell,2,96,6.35E-07,0.000147627,0.000149354,0.988819057
94,Glybenclamide,10238-21-8,Rat cerebellar granule cell,2,96,1.01E-04,2.68503E-06,3.23448E-05,0.083044954
95,HC Red 3,2871-01-4,Rat cerebellar granule cell,2,96,9.02E-08,1.48E-04,1.48E-04,1.000249737
96,Hydralazine hydrochloride,304-20-1,Rat cerebellar granule cell,2,96,3.54E-07,0.000145432,0.000145519,0.999787255
97,Ketoconazole,65277-42-1,Rat cerebellar granule cell,2,96,8.58E-05,7.33E-06,4.08E-05,0.179988856
98,Metformin,1115-70-4,Rat cerebellar granule cell,2,96,9.61E-09,0.000149458,0.00014946,1.000377836
99,Metoclopramide,364-62-5,Rat cerebellar granule cell,2,96,1.91E-05,9.35E-05,9.95E-05,0.940508131
100,Nitrofurantoin,67-20-9,Rat cerebellar granule cell,2,96,2.30E-08,0.000149081,0.000149086,1.000357685
101,Oxytetracycline hydrochloride,2058-46-0,Rat cerebellar granule cell,2,96,2.78E-09,0.000149772,0.000149772,1.000387563
102,Panthenol,16485-10-2 ,Rat cerebellar granule cell,2,96,9.12E-09,1.49E-04,1.49E-04,1.000378555
103,Paracetamol,103-90-2,Rat cerebellar granule cell,2,96,1.93E-07,0.000146812,0.000146858,1.000075203
104,Topiramate,97240-79-4,Rat cerebellar granule cell,2,96,3.50E-09,0.000149726,0.000149727,1.000386574
105,Trimellitic anhydride,552-30-7,Rat cerebellar granule cell,2,96,1.86E-06,0.000137466,0.00013797,0.99673725
106,Verapamil hydrochloride,152-11-4,Rat cerebellar granule cell,2,96,8.83E-05,5.56965E-06,4.0583E-05,0.137294246
107,Warfarin,129-06-6,Rat cerebellar granule cell,2,96,1.50E-05,0.000101912,0.000106507,0.957225144
108,"2,4-Dinitrophenol",51-28-5,Balbc_3T3,2,96,4.25E-07,1.36E-04,1.36E-04,0.994283919
109,Aldrin,309-00-2,Balbc_3T3,2,96,8.19E-05,3.49E-07,4.82E-05,0.007245657
110,Azinphos-methyl,86-50-0,Balbc_3T3,2,96,3.63E-06,9.86E-05,1.07E-04,0.91971443
111,Chlorpyrifos,2921-88-2,Balbc_3T3,2,96,3.55E-05,5.54E-06,7.52E-05,0.073737078
112,"DDD-p,p'",50-29-3,Balbc_3T3,2,96,9.04E-05,1.48E-07,4.63E-05,0.003201257
113,"DDT-o,p'",789-02-6,Balbc_3T3,2,96,8.40E-05,3.11E-07,4.83E-05,0.006455554
114,"DDT-p,p'",72-54-8,Balbc_3T3,2,96,7.32E-05,7.58E-07,5.24E-05,0.014475667
115,Diazinon,333-41-5,Balbc_3T3,2,96,1.55E-05,3.55E-05,7.82E-05,0.454744329
116,Dicofol,115-32-2,Balbc_3T3,2,96,3.75E-05,5.08E-06,7.37E-05,0.068955307
117,Dieldrin,60-57-1,Balbc_3T3,2,96,4.07E-05,4.37E-06,7.11E-05,0.061440283
118,Disulfoton,298-04-4,Balbc_3T3,2,96,1.84E-05,2.58E-05,7.79E-05,0.331694573
119,Endosulfan I,115-29-7,Balbc_3T3,2,96,1.58E-05,3.45E-05,7.81E-05,0.44251938
120,Endrin,72-20-8,Balbc_3T3,2,96,5.12E-05,2.66E-06,6.40E-05,0.041634285
121,Ethion,563-12-2,Balbc_3T3,2,96,3.91E-05,4.71E-06,7.24E-05,0.065127306
122,Heptachlor,76-44-8,Balbc_3T3,2,96,7.25E-05,7.88E-07,5.26E-05,0.014982094
123,Heptachlor epoxide B,1024-57-3,Balbc_3T3,2,96,3.62E-05,5.38E-06,7.47E-05,0.072120204
124,Lindane,58-89-9,Balbc_3T3,2,96,1.41E-05,4.00E-05,7.83E-05,0.510217563
125,"Methoxychlor-o,p'",72-43-5,Balbc_3T3,2,96,3.94E-05,4.64E-06,7.21E-05,0.06437867
126,Parathion,56-38-2,Balbc_3T3,2,96,1.58E-05,3.45E-05,7.81E-05,0.44251938
127,Trifluralin,1582-09-8,Balbc_3T3,2,96,4.81E-05,3.08E-06,6.59E-05,0.046854026
