"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"86","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.000598246,0.0135649,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.2231201964901,-1.86758340349533,1.35553679299477,1.35553679299477
"87","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.001914035,0.0135649,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.71805012498766,-1.86758340349533,0.850466721492327,0.850466721492327
"88","cyclosporine A","59865-13-3","Fisher et al. (2019)",7.42e-05,0.000991179,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.12959609472097,-3.00384790788374,1.12574818683723,1.12574818683723
"89","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.001138061,0.00991179,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.9438344591594,-2.00384790788374,0.93998655127566,0.93998655127566
"90","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.000267949,0.000362533,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.57194785942758,-3.44065245511891,0.131295404308668,0.131295404308668
"91","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.001483226,0.00362533,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.82879267022927,-2.44065245511891,0.388140215110357,0.388140215110357
"92","chlorpromazine","50-53-3","Fisher et al. (2019)",0.003070137,0.00329108,0.0034,1.7,"Balb/c 3T3","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.51284224438715,-2.48266156069065,0.0301806836964946,0.0301806836964946
"93","chlorpromazine","50-53-3","Fisher et al. (2019)",0.003951691,0.00968752,0.01,5,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.40321702214147,-2.0137873878786,0.389429634262872,0.389429634262872
"94","chlorpromazine","50-53-3","Fisher et al. (2019)",0.013632266,0.0290626,0.03,15,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.86543194831057,-1.53666553542194,0.328766412888631,0.328766412888631
"95","chlorpromazine","50-53-3","Fisher et al. (2019)",0.000729124,0.000910829,0.0034,1.7,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.13719860620023,-3.0405631502797,0.0966354559205387,0.0966354559205387
"96","chlorpromazine","50-53-3","Fisher et al. (2019)",0.00149,0.00267891,0.01,5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.82681373158773,-2.57204187659707,0.254771854990659,0.254771854990659
"97","chlorpromazine","50-53-3","Fisher et al. (2019)",0.00547365,0.00803673,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.26172297600304,-2.0949206218774,0.166802354125638,0.166802354125638
"98","chlorpromazine","50-53-3","Fisher et al. (2019)",0.000182609,0.000676022,0.002,1,"PHH","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.73847782179616,-3.17003917044426,0.568438651351897,0.568438651351897
"99","chlorpromazine","50-53-3","Fisher et al. (2019)",0.000178751,0.0027291,0.003,1.5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.7477515199142,-2.56398055056957,1.18377096934463,1.18377096934463
"100","chlorpromazine","50-53-3","Fisher et al. (2019)",0.004579479,0.027291,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.33918392817422,-1.56398055056957,0.775203377604649,0.775203377604649
"101","chlorpromazine","50-53-3","Fisher et al. (2019)",0.000264694,0.00299586,0.003,2,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.57725590303724,-2.52347848558142,1.05377741745582,1.05377741745582
"102","chlorpromazine","50-53-3","Fisher et al. (2019)",6.02e-05,0.0299586,0.03,20,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.22040350874218,-1.52347848558142,2.69692502316076,2.69692502316076
"103","ibuprofen","15687-27-1","Fisher et al. (2019)",0.020242029,0.192036,0.2,100,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.69374595727993,-0.716617348714222,0.977128608565708,0.977128608565708
"104","ibuprofen","15687-27-1","Fisher et al. (2019)",0.909838078,1.92036,2,1000,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-0.0410358912923602,0.283382651285778,0.324418542578138,0.324418542578138
"105","ibuprofen","15687-27-1","Fisher et al. (2019)",0.000820778,0.0195391,0.02,10,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.0857742928349,-1.70909544440617,1.37667884842874,1.37667884842874
"106","ibuprofen","15687-27-1","Fisher et al. (2019)",0.0375,0.195391,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.42596873227228,-0.709095444406165,0.716873287866116,0.716873287866116
"107","ibuprofen","15687-27-1","Fisher et al. (2019)",0.000510903,0.0143843,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.29166154715211,-1.8421112678393,1.44955027931281,1.44955027931281
"108","ibuprofen","15687-27-1","Fisher et al. (2019)",0.023037626,0.143843,0.15,100,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.63756227647368,-0.842111267839301,0.795451008634379,0.795451008634379
