"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"88","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",3.16e-05,5.75e-05,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-4.24033215531037,0.259980762071227,0.259980762071227
"89","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",5.79e-05,5.75e-05,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.23732143627256,-4.24033215531037,-0.00301071903780592,0.00301071903780592
"90","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.00479,0.000575,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.31966448658544,-3.24033215531037,-0.920667668724933,0.920667668724933
"91","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",6e-04,0.000575,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.22184874961636,-3.24033215531037,-0.0184834056940129,0.0184834056940129
"92","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.001220175,0.000575,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.91357787745318,-3.24033215531037,-0.326754277857187,0.326754277857187
"93","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",7.57e-06,4.56e-06,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-5.12090412049993,-5.34103515733556,-0.220131036835638,0.220131036835638
"94","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.000259,4.56e-05,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.58670023591875,-4.34103515733556,-0.754334921416817,0.754334921416817
"95","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.000303,5.02e-05,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.5185573714977,-4.29929628285498,-0.780738911357285,0.780738911357285
"96","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.002466738,0.000502,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.60787697584337,-3.29929628285498,-0.691419307011606,0.691419307011606
"118","PBDE 47","5436-43-1","Zaldivar-Comenges et al. (2017)",0.00014,0.000319,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-3.85387196432176,-3.49620931694282,0.357662647378943,0.357662647378943
"119","PBDE 99","60348-60-9","Zaldivar-Comenges et al. (2017)",0.000126,0.000319,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-3.89962945488244,-3.49620931694282,0.403420137939618,0.403420137939618
